"cus_id";"cus_fname";"cus_lname";"cus_email";"cus_phone";"cus_create_date";"cus_last_upd";"cus_active";"cus_avg_rating"
1;"Mary";"Smith";"marysm@lyftcustomer.com";"123-456-7890";"2019-01-08";"2019-05-23 00:00:00";1;1.0
2;"Patricia";"Johnson";"patjohn@lyftcustomer.com";"456-123-7890";"2019-05-24";"2019-05-23 00:00:00";1;3.5
3;"John";"Smith";"johnsm@lyftcustomer.com";"890-123-7890";"2008-08-07";"2019-05-23 00:00:00";1;0.0
4;"Maria";"Jones";"mariajo@lyftcustomer.com";"765-123-7890";"2019-05-23";"2019-07-23 00:00:00";1;4.5
5;"Barbara";"Brown";"barbarabr@lyftcustomer.com";"765-789-7890";"2020-05-23";"2019-08-23 00:00:00";1;0.0
6;"Madison";"Peter";"maddiepeter@lyftcustomer.com";"763-123-7890";"2020-04-23";"2019-08-23 00:00:00";1;0.0
7;"Daniel";"Miller";"danmiller@lyftcustomer.com";"765-123-8908";"2019-08-08";"2019-05-23 00:00:00";1;0.0
8;"John";"Jones";"johnjo@lyftcustomer.com";"765-999-7890";"2019-08-08";"2019-05-23 00:00:00";1;0.0
9;"Susan";"William";"susanwilliam@lyftcustomer.com";"503-123-7890";"2019-05-23";"2019-05-23 00:00:00";1;0.0
10;"Sarah";"Johnson";"sarahjohnson@lyftcustomer.com";"408-099-7890";"2019-05-23";"2019-05-23 00:00:00";1;3.0
11;"Susan";"William";"susanwilliam@lyftcustomer.com";"503-123-7890";"2019-05-23";"2019-05-23 00:00:00";1;5.0
12;"Kate";"Wilson";"katewil@lyftcustomer.com";"503-123-3478";"2019-05-23";"2019-05-23 00:00:00";1;0.0
13;"Peter";"William";"peterwil@lyftcustomer.com";"980-123-3462";"2019-05-23";"2019-05-23 00:00:00";1;0.0
14;"Andy";"Simon";"andysimon@lyftcustomer.com";"648-873-7890";"2019-05-23";"2019-05-23 00:00:00";1;0.0
15;"Simon";"Davis";"simondavis@lyftcustomer.com";"503-123-3721";"2019-05-23";"2019-05-23 00:00:00";1;0.0
16;"Jennifer";"Davison";"jendav@lyftcustomer.com";"789-342-7890";"2019-05-23";"2019-05-23 00:00:00";1;3.75
17;"Jacob";"Jones";"jjones@lyftcustomer.com";"403-988-3421";"2019-05-23";"2019-05-23 00:00:00";1;5.0
18;"Tina";"Jackson";"tinajac@lyftcustomer.com";"203-643-3421";"2019-05-23";"2019-05-23 00:00:00";1;0.0
19;"Isabelle";"Johnson";"isabellej@lyftcustomer.com";"879-463-7890";"2019-05-23";"2019-05-23 00:00:00";1;4.0
20;"Jackson";"White";"jackwhite@lyftcustomer.com";"404-987-3479";"2019-05-23";"2019-05-23 00:00:00";0;0.0
21;"Mary";"Smith";"marysm@lyftcustomer.com";"123-456-7890";"2019-01-08";"2019-05-23 00:00:00";1;0.0
