"driver_id";"driver_name";"driver_phone";"driver_base_loc";"driver_join_date";"driver_birth_date";"driver_email";"driver_avg_rating"
1000;"daniel";"987-654-3211";111;"2001-01-01";"1995-01-20";"daniel123@lyft.com";0.0
1001;"johnson";"887-654-3211";115;"2002-01-02";"1994-01-21";"johnson123@lyft.com";5.0
1002;"peter";"787-654-3211";101;"2003-01-03";"1993-01-22";"peter123@lyft.com";5.0
1003;"Hailey";"687-654-3211";101;"2001-01-04";"1992-01-23";"hailey123@lyft.com";0.0
1004;"charlieputh";"587-654-3211";105;"2001-01-20";"1991-01-24";"charlieputh123@lyft.com";4.0
1005;"brian";"487-654-3211";110;"2004-01-23";"1990-01-25";"brian123@lyft.com";0.0
1006;"Sameer";"387-654-3211";111;"2005-01-21";"1989-01-26";"sameer123@lyft.com";4.5
1007;"Faizal";"678-984-3211";111;"2012-01-22";"1989-01-26";"faizal123@lyft.com";3.0
1008;"Sampath";"888-876-3211";102;"2012-01-22";"1989-01-26";"sampath123@lyft.com";4.5
1009;"Rachel";"987-444-3211";103;"2012-01-24";"1989-01-26";"Rachel123@lyft.com";0.0
1010;"Roches";"678-633-3211";104;"2012-01-25";"1989-01-26";"Roches123@lyft.com";4.33
